,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Case Number.1,Case Number.2,Month
155,2017-04-17,2017.0,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,FATAL,Y,16h00,White shark,,,April
156,2017-04-14,2017.0,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,M,28,Lower right leg severely injured,N,09h00,"Tiger shark, 12'",2017-04-14,2017-04-14,April
157,2017-04-13,2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,Lacerations to right foot,N,13h30,,2017-04-13,2017-04-13,April
158,2017-04-12,2017.0,Unprovoked,USA,Florida,St. Augustine,Surfing,F,,Lacerations to right foot,N,13h45,,,,April
159,2017-04-12,2017.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,Scuba Diving,M,68,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",,,Shark involvement prior to death not confirmed,,,April
160,2017-04-11,2017.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,F,35,Calf bitten,N,16h00,,2017-04-11,2017-04-11,April
161,2017-04-10,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Paddle boarding,F,10,Laceration to calf,N,17h45,,,,April
162,2017-04-10,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,21,Minor injury to left hand,N,17h00,,,,April
163,2017-04-06,2017.0,Unprovoked,USA,Florida,"Daytona, Volusia County",Swimming,M,16,Foot injured,N,,,2017-04-06,2017-04-06,April
164,2017-04-05,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,51,"Thigh nipped, minor injury",N,13h00,,2017-04-05,2017-04-05,April
165,2017-04-02,2017.0,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,Kakaying,M,39,"No injury, shark bit off stern of kayak",N,Afternoon,,,,April
166,2017-04-02,2017.0,Unprovoked,USA,Florida,"Destin, Okaloosa County",Swimming,F,17,Lacerations to thighs,N,15h00,"Bull shark, 5' to 7'",,,April
167,2017-03-27,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,58,Minor injury to left foot,N,10h00,,2017-03-27,2017-03-27,March
168,2017-03-19,2017.0,Unprovoked,AUSTRALIA,New South Wales,The Farm,Body boarding,M,30,Minor,N,18h30,,2017-03-19,2017-03-19,March
169,2017-03-18,2017.0,Boating,USA,California,Monterey Bay,Kayaking,M,,"No injury, kayak bitten",N,14h30,White shark,2017-03-18,2017-03-18,March
170,2017-03-11,2017.0,Unprovoked,PHILIPPINES,Luzon Island,"Villamar, Caoayan",Spearfishing,M,25,Right thigh injured ,N,,10' shark,2017-03-11,2017-03-11,March
171,,2017.0,Unprovoked,BAHAMAS,Great Exuma,,Washing hands,M,58,Abrasions & lacerations to left leg and hand,N,,Lemon shark,2017-03-09,2017-03-09,
172,2017-02-25,2017.0,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,Snorkeling,F,,Hand bitten,N,Morning,"Bull shark, 1.5",2017-02-25,2017-02-25,February
173,2017-02-24,2017.0,Unprovoked,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,,"No injury, shark struck board",N,Morning,,2017-02-24,2017-02-24,February
174,2017-02-21,2017.0,Unprovoked,REUNION,Saint-Andre,,Body boarding,M,26,Fatal,Y,09h30,,2017-02-21,2017-02-21,February
175,2017-02-17,2017.0,Unprovoked,AUSTRALIA,Queensland,Eva Rock,Spearfishing,M,26,Left leg severely bitten,N,10h20,,2017-02-17,2017-02-17,February
176,2017-02-11,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,22,Injury to hand,N,13h30,,2017-02-11,2017-02-11,February
177,2017-02-06,2017.0,Provoked,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,Grabbing shark for a selfie,F,,"Minor injury to finger, PROVOKED INCIDENT",N,Afternoon,Lemon shark pup,,,February
178,2017-02-06,2017.0,Boating,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,Kayak fishing,M,,"Shark damaged kayak, no injury to occupant",N,,Tiger shark,,,February
179,2017-02-01,2017.0,Boating,USA,South Carolina,16 miles off Hilton Head,Tagging sharks,,,"Shark bit boat, no injury to occupants",N,,"White shark, female, 14'",,,February
180,2017-02-01,2017.0,Unprovoked,BAHAMAS,Bimini,,Scuba Diving,M,37,Lacerations to upper right arm,N,,Caribbean reef shark,,,February
181,2017-01-24,2017.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,21,Minor laceration to ring finger,N,13h20,,2017-01-24,2017-01-24,January
182,2017-01-22,2017.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",,M,Teen,Puncture wounds to lower arm or hand,N,14h00,,2017-01-22,2017-01-22,January
183,2017-01-21,2017.0,Unprovoked,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",N,12h00,"Bull shark, 4 m",2017-01-21,2017-01-21,January
184,2017-01-13,2017.0,Unprovoked,AUSTRALIA,Queensland,Clairview,Swimming,M,57,Injury to hand,N,13h30,,,,January
185,2017-01-13,2017.0,Unprovoked,USA,Florida,Jensen Beach,,M,,Minor injury to hand,N,Morning,,,,January
186,2017-01-09,2017.0,Unprovoked,INDONESIA,Bali,Balian Beach,Surfing,M,48,Injury to right wrist & forearm,N,07h30,"Bull shark, 1 m",2017-01-09,2017-01-09,January
187,,,Invalid,AUSTRALIA,Queensland,,Spearfishing,M,35,"No attack, shark made a threat display",,,Bull shark,,,
188,2017-01-05,2017.0,Unprovoked,USA,Florida,"Blockhouse Beach, Brevard County",Wading,M,47,Minor injuries to foot,N,12h30,,2017-01-05,2017-01-05,January
189,2017-01-03,2017.0,Invalid,AUSTRALIA,New South Wales,Merimbula,Wading,M,20,Minor injuries to foot & toes,,18h00,Shark involvement not confirmed,2017-01-03,2017-01-03,January
190,2016-12-27,2016.0,Unprovoked,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,M,16,Lacerations to right forearm,N,17h00,,2016-12-27,2016-12-27,December
191,2016-12-24,2016.0,Unprovoked,AUSTRALIA,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",Snorkeling,F,,Buttock bitten,N,Morning,a small shark,2016-12-24,2016-12-24,December
192,2016-12-19,2016.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",Surf skiing ,M,55,"No injury, but ski severely damaged",N,07h00,"White shark, 4 m",2016-12-19,2016-12-19,December
193,2016-12-14,2016.0,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,Free diving,M,61,Punctures to left foot/ankle,N,09h30,,2016-12-14,2016-12-14,December
194,2016-12-11,2016.0,Unprovoked,FRENCH POLYNESIA,Tuamotos,Takapoto Atoll,Fishing,M,40s,Hand injured?,N,,,,,December
195,2016-12-11,2016.0,Invalid,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Cuts to right ankle & foot,,Afternoon,Shark involvement not confirmed,,,December
196,2016-12-06,2016.0,Provoked,AUSTRALIA,New South Wales,Merimbula,Surf fishing,M,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,02h00,"Wobbegong shark, 2m",2016-12-06,2016-12-06,December
197,2016-12-01,2016.0,Unprovoked,AUSTRALIA,New South Wales,Booti Booti National Park,Surfing,M,65,Injuries to foot & arm,N,09h00,White shark,2016-12-01,2016-12-01,December
198,2016-11-28,2016.0,Provoked,AUSTRALIA,Victoria,Queenscliff,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,11h00,"Broadnose sevengill shark, 1.5 m",2016-11-28,2016-11-28,November
199,2016-11-14,2016.0,Unprovoked,USA,Hawaii,"Kamaole Beach Park I, Maui",Floating,F,58,Injuries to right calf and thigh,N,10h30,Tiger shark,2016-11-14,2016-11-14,November
200,2016-10-30,2016.0,Unprovoked,USA,Florida,"Mayport Naval Station Beach, Duval County",Surfing,M,41,Lacerations to right foot and ankle,N,Afternoon,,2016-10-30,2016-10-30,October
201,2016-10-29,2016.0,Unprovoked,USA,Florida,Mayport Naval Station  Duval County,Surfing,M,42,Lacerations to right hand,N,Afternoon,,2016-10-29,2016-10-29,October
202,2016-10-24,2016.0,Unprovoked,AUSTRALIA,New South Wales,Broken Head Beach,Surfing,M,36,Lacerations to left thigh,N,07h30,,2016-10-24,2016-10-24,October
203,2016-10-21,2016.0,Unprovoked,USA,Hawaii,"Hooipa Beach Park, Maui",Surfing,M,36,Left arm and leg injured,N,17h00, 6' to 8' shark,2016-10-21,2016-10-21,October
204,2016-10-15,2016.0,Unprovoked,AUSTRALIA,Queensland,"Kings Beach, Caloundra",Surfing,M,,Torso nipped,N,18h00,,2016-10-15,2016-10-15,October
205,2016-10-14,2016.0,Unprovoked,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",Snorkeling,F,66,Injuries to left calf,N,09h50,,2016-10-14,2016-10-14,October
206,2016-10-13,2016.0,Invalid,MEXICO,,Guadalupe Island,Cage Diving,M,,"Shark breached cage, no injury to diver",,,White shark,,,October
207,2016-10-12,2016.0,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,25,Minor wound to lower right leg & surfboard bitten,N,10h30,,2016-10-12,2016-10-12,October
208,2016-10-10,2016.0,Unprovoked,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Surfing,M,29,Wounds to upper thigh and lower leg,N,16h00,,2016-10-10,2016-10-10,October
209,2016-10-02,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Cuts to dorsal surface of left foot,N,11h30,,2016-10-02,2016-10-02,October
210,2016-10-01,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfng,M,32,Minor injuries,N,17h30,,2016-10-01,2016-10-01,October
211,2016-09-26,2016.0,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Surfing,M,17,4 deep lacerations to thigh,N,9h00,"White shark, 3.5 m",2016-09-26,2016-09-26,September
212,2016-09-18,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Minor injury to thigh,N,13h00,,,,September
213,2016-09-18,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36,Lacerations to hands,N,11h00,,,,September
214,2016-09-18,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,43,Lacerations to lower leg,N,10h43,,,,September
215,2016-09-17,2016.0,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,43,"No injury, board bitten",N,After noon,,,,September
216,2016-09-17,2016.0,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,M,,Struck by fin on chest & leg,N,,,,,September
217,2016-09-16,2016.0,Unprovoked,AUSTRALIA,Victoria,Bells Beach,Surfing,M,,No injury: Knocked off board by shark,N,,2 m shark,2016-09-16,2016-09-15,September
218,2016-09-15,2016.0,Boating,AUSTRALIA,Western Australia,Bunbury,Fishing,,,Shark rammed boat. No injury to occupant,N,,,,,September
219,2016-09-11,2016.0,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,60s,Minor injury to arm,N,15h15,3' to 4' shark,2016-09-11,2016-09-11,September
220,2016-09-07,2016.0,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,51,Severe lacerations to shoulder & forearm,N,14h30,"Tiger shark, 10'",2016-09-07,2016-09-07,September
221,2016-09-06,2016.0,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,M,50,FATAL,Y,15h40,,2016-09-06,2016-09-06,September
222,2016-09-05,2016.0,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,Late afternoon,,,,September
223,2016-09-05,2016.0,Unprovoked,AUSTRALIA,Western Australia,Injidup ,Surfing,M,,"No inury, board broken in half by shark",N,Late afternoon,,,,September
224,2016-09-04,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,9,Foot bitten,N,,,2016-09-04,2016-09-04,September
225,2016-09-01,2016.0,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,22,Two toes broken & lacerated,N,,"White shark, 8' to 10'",2016-09-01,2016-09-01,September
226,2016-09-01,2016.0,Invalid,MEXICO,,Guadalupe Island,Cage Diving,,,"No injury to divers, white shark breached cage",,,Invalid,,,September
227,2016-08-29,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,25,Lacerations to right foot,N,15h00,"Bull shark, 6'",,,August
228,2016-08-29,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,37,Minor injury to ankle,N,14h00,,,,August
229,2016-08-27,2016.0,Unprovoked,REUNION,,Boucan Canot,Surfing,M,20,"Right arm severed, ankle severely bitten ",N,17h00,"Bull shark, 3.5 m",2016-08-27,2016-08-27,August
230,2016-08-25,2016.0,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,49,Minor injury to ankle,N,16h00,,2016-08-25,2016-08-25,August
231,2016-08-07,2016.0,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,M,15,Lacerations to left leg,N,,,2016-08-07,2016-08-07,August
232,2016-08-06,2016.0,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,M,21,"No inury, shark & board collided",N,16h30,"Tiger shark, 10' ",2016-08-06,2016-08-06,August
233,2016-08-04,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,Big toe bitten,N,,Blacktip shark,2016-08-04,2016-08-04,August
234,2016-07-29,2016.0,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,M,40,Lacerations to right hand,N,11h30,Blue shark,2016-07-29,2016-07-29,July
235,2016-07-28,2016.0,Unprovoked,CHINA,Hong Kong,,Swimming,M,72,Lacerations to leg,N,,,,,July
236,2016-07-28,2016.0,Boating,AUSTRALIA,Western Australia,Near Albany,Kayaking,M,,"No injury, shark nudged kayak repeatedly",N,,White shark,2016-07-28,2016-07-28,July
237,2016-07-27,2016.0,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,43,Laceration to left forearm PROVOKED INCIDENT,N,,"Nurse shark, 4'",2016-07-27,2016-07-27,July
238,2016-07-26,2016.0,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",N,12h00,,2016-07-26,2016-07-26,July
239,2016-07-24,2016.0,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,29,Lacerations to left leg,N,19h05,,2016-07-24,2016-07-24,July
240,2016-07-23,2016.0,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,36,Calf bumped but no injury,N,,,,,July
241,2016-07-23,2016.0,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,M,,Lacerations to face and right leg,N,,"Bull shark, 6'",,,July
242,2016-07-20,2016.0,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,After noon,"reef shark, 1m",2016-07-20,2016-07-20,July
243,2016-07-17,2016.0,Boating,USA,Alabama,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,,,"No injury, shark bit trolling motor",N,,"Tiger shark, 10' ",2016-07-17,2016-07-17,July
244,2016-07-16,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,9,Minor injury to leg,N,1300,,,,July
245,2016-07-16,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,F,11,Minor injury to toes,N,11h00,,,,July
246,2016-07-15,2016.0,Unprovoked,USA,California,"Surfside, Orange County",Kite surfing,M,61,"No injury, board damaged",N,17h00,"White shark, 10' to 12'",,,July
247,2016-07-15,2016.0,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,,Puncture wounds to foot,N,,,,,July
248,,2016.0,Unprovoked,BAHAMAS,,Tiger Beach,Scuba Diving,M,,Face bruised when partly blind shark collided with him,N,,"Lemon shark, 9'",,,
249,,2016.0,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,,Angel shark,,,
250,2016-07-08,2016.0,Boating,USA,California,"Capitola, Santa Cruz County",Fishing for squid,M,,"No injury. Hull bitten, tooth fragment recovered",N,,White shark,2016-07-08,2016-07-08,July
251,2016-07-07,2016.0,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,10h00,dogfish shark,,,July
252,2016-07-07,2016.0,Boating,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,M,,"No injury. Hull bitten, tooth fragment recovered",N,,White shark,,,July
253,2016-07-06,2016.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N,14h30 / 15h30,,2016-07-06,2016-07-06,July
254,2016-07-04,2016.0,Provoked,AUSTRALIA,Queensland,Palm Cove ,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00,Tawny nurse shark,2016-07-04,2016-07-04,July
255,2016-06-27,2016.0,Unprovoked,USA,South Carolina,Sullivan's Island,,M,35,Minor injury,N,16h20,3' to 4' shark,2016-06-27,2016-06-27,June
256,2016-06-25,2016.0,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,11,Foot injured,N,14h34,,2016-06-25,2016-06-25,June
257,2016-06-24,2016.0,Unprovoked,COLUMBIA,Isla Provedencia,,Scuba Diving,M,59,Severe bite to right hand,N,11h00,"Caribbean reef shark, 4.5'",2016-06-24,2016-06-24,June
258,2016-06-23,2016.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,M,43,Injuries to left leg & right hand,N,,White shark,2016-06-23,2016-06-23,June
259,2016-06-21,2016.0,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,M,42,Lacerations and punctures to foot,N,15h25,3' to 5' shark,,,June
260,2016-06-21,2016.0,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,M,,Injuries to right calf,N,14h55,,,,June
261,2016-06-15,2016.0,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,,Single puncture wound to arm,N,06h00,3' to 4' shark,,,June
262,2016-06-15,2016.0,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,M,19,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,,5' shark,,,June
263,2016-06-14,2016.0,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,F,6,Injury to lower leg,N,17h30,3' to 4' shark,2016-06-14,2016-06-14,June
264,2016-06-11,2016.0,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,19,Laceration to wrist,N,15h00,3' shark,2016-06-11,2016-06-11,June
265,2016-06-07,2016.0,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,27,"No injury, board damaged",,11h30,Said to involve an 8' shark but more likely damage caused by debris,2016-06-07,2016-06-07,June
266,2016-06-05,2016.0,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,64,Leg bitten,N,08h30,,,,June
267,2016-06-05,2016.0,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,F,60,FATAL,Y,11h30,3+ m shark,,,June
268,2016-06-04,2016.0,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,M,23,"Leg severely bitten, surgically amputated",N,Morning,Mako shark,2016-06-04,2016-06-04,June
269,2016-06-02,2016.0,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,Spearfishing,M,,"No injury, but sharks repeatedly hit their fins and guns",,,Bronze whaler sharks x 3,,,June
270,2016-06-02,2016.0,Unprovoked,NEW CALEDONIA,," Côte-Blanche, Nouméa ",Kite surfing,M,,Laceration to heel,N,Afternoon,3 m shark,,,June
271,2016-05-31,2016.0,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,29,FATAL,Y,16h00,White shark,2016-05-31,2016-05-31,May
272,2016-05-29,2016.0,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,52,Injuries to arm and shoulder,N,16h00,,,,May
273,2016-05-29,2016.0,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,M,13,Injury to posterior right leg,N,15h45,5' shark,,,May
274,2016-05-22,2016.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,57,Puncture wounds to thigh,N,12h00,,2016-05-22,2016-05-22,May
275,2016-05-21,2016.0,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,22,Lacerations and puncture wounds to foot and ankle,N,18h00,"Bull shark, 4' to 5'",,,May
276,2016-05-21,2016.0,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11,"Back, arm & hand injured",N,17h46,,,,May
277,2016-05-18,2016.0,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,48,Ankle bitten,N,Morning ,"Blacktip shark, 4'",2016-05-18,2016-05-18,May
278,2016-05-15,2016.0,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,F,23,Arm grabbed PROVOKED INCIDENT,N,13h20,"Nurse shark, 2'",2016-05-15,2016-05-15,May
279,2016-05-03,2016.0,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,M,59,Minor lacerations to right shoulder,N,15h49,,2016-05-03,2016-05-03,May
280,2016-05-02,2016.0,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,M,39,Foot bitten by landed shark PROVOKED INCIDENT,N,Afternoon,"Mako shark, 1.5 m [5'] ",2016-05-02,2016-05-02,May
281,2016-04-25,2016.0,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,24,Elbow bitten,N,07h00,"Bull shark, 6'",2016-04-25,2016-04-25,April
282,2016-04-23,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Minor injury to left foot,N,17h30,,2016-04-23,2016-04-23,April
283,2016-04-22,2016.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,M,,"No injury, surf-ski bitten",N,08h00,White shark,2016-04-22,2016-04-22,April
